Route,Location,URL,Avg Stars,Num Ratings,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
“Easy Mantle”,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/119975979/easy-mantle,2.3,8,-1,Boulder,V-easy X,1,3,39.30641,-111.11371
"Warm Me Up, Scotty",Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/105880686/warm-me-up-scotty,2.7,247,-1,Boulder,V1,1,,39.30641,-111.11371
Goat Cheese,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/113776259/goat-cheese,1.6,22,-1,Boulder,V1,1,,39.30641,-111.11371
Suck That,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106023819/suck-that,1.8,24,-1,Boulder,V2-,1,,39.30641,-111.11371
Gettin' Warmer,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/105881031/gettin-warmer,2.4,116,-1,Boulder,V2,1,,39.30641,-111.11371
Stumblebum Traverse Variation,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/118610815/stumblebum-traverse-variation,2.7,70,-1,Boulder,V2,1,10,39.30641,-111.11371
Stumble Pig,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/113713053/stumble-pig,1.8,32,-1,Boulder,V2,1,,39.30641,-111.11371
Huge Mamma,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/110161857/huge-mamma,2.0,25,-1,Boulder,V3,1,15,39.30641,-111.11371
Scary Spice,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/112801935/scary-spice,3.4,70,-1,Boulder,V3,1,18,39.30641,-111.11371
Chit,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/113713016/chit,2.0,20,-1,Boulder,V3,1,,39.30641,-111.11371
Goat Milk,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/113776268/goat-milk,1.9,24,-1,Boulder,V3,1,,39.30641,-111.11371
Super Sloper,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/105880412/super-sloper,3.1,239,-1,Boulder,V3,1,,39.30641,-111.11371
Marble Cake,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/105881004/marble-cake,2.0,6,-1,Boulder,V3,1,,39.30641,-111.11371
Snake Bite,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106307444/snake-bite,2.6,79,-1,Boulder,V3,1,,39.30641,-111.11371
Scary,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106389237/scary,3.1,116,-1,Boulder,V3,1,20,39.30641,-111.11371
Joe Cool,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106721092/joe-cool,3.1,138,-1,Boulder,V3 R,1,20,39.30641,-111.11371
Get Shorty,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/107933313/get-shorty,2.1,83,-1,Boulder,V3,1,,39.30641,-111.11371
SPAM Arete,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/116109717/spam-arete,2.2,18,-1,Boulder,V3,1,,39.30641,-111.11371
Goatee Traverse,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106312706/goatee-traverse,2.4,30,-1,Boulder,V3-4,1,20,39.30641,-111.11371
Slap Me Silly,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106000024/slap-me-silly,2.6,5,-1,Boulder,V4,1,,39.30641,-111.11371
Sun in My Eyes,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/106307450/sun-in-my-eyes,2.1,95,-1,Boulder,V4,1,,39.30641,-111.11371
Stumblebum Traverse,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/107933321/stumblebum-traverse,2.9,173,-1,Boulder,V4,1,,39.30641,-111.11371
Phony Baloney,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/105999992/phony-baloney,2.4,60,-1,Boulder,V5-,1,,39.30641,-111.11371
Fig Fart,Area 51 > New Joe's > Joe's Valley > Central Utah > Utah,https://www.mountainproject.com/route/109550838/fig-fart,1.8,99,-1,Boulder,V5-,1,,39.30641,-111.11371
